year,region,technology,spore,capacity_gw
2030,Albania,CCGT,max_bat/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_bat/spore_1,9.201165169626486e-06
2030,Albania,CCGT,max_bat/spore_2,9.201165169626486e-06
2030,Albania,CCGT,max_bat/spore_3,9.201165169626486e-06
2030,Albania,CCGT,max_bat/spore_4,9.201165169626486e-06
2030,Albania,CCGT,max_bat/spore_5,9.201165169626486e-06
2030,Albania,CCGT,max_bio/spore_0,0.0006236836872592988
2030,Albania,CCGT,max_bio/spore_1,0.13501640331780002
2030,Albania,CCGT,max_bio/spore_2,0.13501640331780002
2030,Albania,CCGT,max_bio/spore_3,0.13501640331780002
2030,Albania,CCGT,max_bio/spore_4,0.13501640331780002
2030,Albania,CCGT,max_bio/spore_5,0.13501640331780002
2030,Albania,CCGT,max_p2g/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_p2g/spore_1,1.3040315221664816e-05
2030,Albania,CCGT,max_p2g/spore_2,1.3040315221664816e-05
2030,Albania,CCGT,max_p2g/spore_3,1.3040315221664816e-05
2030,Albania,CCGT,max_p2g/spore_4,1.3040315221664816e-05
2030,Albania,CCGT,max_p2g/spore_5,1.3040315221664816e-05
2030,Albania,CCGT,max_pvfarm/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_pvfarm/spore_1,0.0006435404362268621
2030,Albania,CCGT,max_pvfarm/spore_2,0.0006435404362268621
2030,Albania,CCGT,max_pvfarm/spore_3,0.0006435404362268621
2030,Albania,CCGT,max_pvfarm/spore_4,0.0006435404362268621
2030,Albania,CCGT,max_pvfarm/spore_5,0.0006435404362268621
2030,Albania,CCGT,max_pvroof/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_pvroof/spore_1,3.7852747627713735e-05
2030,Albania,CCGT,max_pvroof/spore_2,3.7852747627713735e-05
2030,Albania,CCGT,max_pvroof/spore_3,3.7852747627713735e-05
2030,Albania,CCGT,max_pvroof/spore_4,3.7852747627713735e-05
2030,Albania,CCGT,max_pvroof/spore_5,3.7852747627713735e-05
2030,Albania,CCGT,max_trn/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_trn/spore_1,0.11580528523849999
2030,Albania,CCGT,max_trn/spore_2,0.11580528523849999
2030,Albania,CCGT,max_trn/spore_3,0.11580528523849999
2030,Albania,CCGT,max_trn/spore_4,0.11580528523849999
2030,Albania,CCGT,max_trn/spore_5,0.11580528523849999
2030,Albania,CCGT,max_wind/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_wind/spore_1,0.0004192706722379633
2030,Albania,CCGT,max_wind/spore_2,0.0004192706722379633
2030,Albania,CCGT,max_wind/spore_3,0.0004192706722379633
2030,Albania,CCGT,max_wind/spore_4,0.0004192706722379633
2030,Albania,CCGT,max_wind/spore_5,0.0004192706722379633
2030,Albania,CCGT,max_windoff/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_windoff/spore_1,0.00043107369776614404
2030,Albania,CCGT,max_windoff/spore_2,0.00043107369776614404
2030,Albania,CCGT,max_windoff/spore_3,0.00043107369776614404
2030,Albania,CCGT,max_windoff/spore_4,0.00043107369776614404
2030,Albania,CCGT,max_windoff/spore_5,0.00043107369776614404
2030,Albania,CCGT,max_windon/spore_0,6.370880270397742e-05
2030,Albania,CCGT,max_windon/spore_1,0.0002038951003874568
2030,Albania,CCGT,max_windon/spore_2,0.0002038951003874568
2030,Albania,CCGT,max_windon/spore_3,0.0002038951003874568
2030,Albania,CCGT,max_windon/spore_4,0.0002038951003874568
2030,Albania,CCGT,max_windon/spore_5,0.0002038951003874568
2030,Albania,CCGT,min_bat/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_bat/spore_1,0.1166728497509
2030,Albania,CCGT,min_bat/spore_2,0.1166728497509
2030,Albania,CCGT,min_bat/spore_3,0.1166728497509
2030,Albania,CCGT,min_bat/spore_4,0.1166728497509
2030,Albania,CCGT,min_bat/spore_5,0.1166728497509
2030,Albania,CCGT,min_bio/spore_0,0.0006236836872592988
2030,Albania,CCGT,min_bio/spore_1,0.13501640331780002
2030,Albania,CCGT,min_bio/spore_2,0.13501640331780002
2030,Albania,CCGT,min_bio/spore_3,0.13501640331780002
2030,Albania,CCGT,min_bio/spore_4,0.13501640331780002
2030,Albania,CCGT,min_bio/spore_5,0.13501640331780002
2030,Albania,CCGT,min_p2g/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_p2g/spore_1,0.1071962883535
2030,Albania,CCGT,min_p2g/spore_2,0.1071962883535
2030,Albania,CCGT,min_p2g/spore_3,0.1071962883535
2030,Albania,CCGT,min_p2g/spore_4,0.1071962883535
2030,Albania,CCGT,min_p2g/spore_5,0.1071962883535
2030,Albania,CCGT,min_pvfarm/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_pvfarm/spore_1,0.08671641929971398
2030,Albania,CCGT,min_pvfarm/spore_2,0.08671641929971398
2030,Albania,CCGT,min_pvfarm/spore_3,0.08671641929971398
2030,Albania,CCGT,min_pvfarm/spore_4,0.08671641929971398
2030,Albania,CCGT,min_pvfarm/spore_5,0.08671641929971398
2030,Albania,CCGT,min_pvroof/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_pvroof/spore_1,0.10577562244689999
2030,Albania,CCGT,min_pvroof/spore_2,0.10577562244689999
2030,Albania,CCGT,min_pvroof/spore_3,0.10577562244689999
2030,Albania,CCGT,min_pvroof/spore_4,0.10577562244689999
2030,Albania,CCGT,min_pvroof/spore_5,0.10577562244689999
2030,Albania,CCGT,min_trn/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_trn/spore_1,0.11580528523849999
2030,Albania,CCGT,min_trn/spore_2,0.11580528523849999
2030,Albania,CCGT,min_trn/spore_3,0.11580528523849999
2030,Albania,CCGT,min_trn/spore_4,0.11580528523849999
2030,Albania,CCGT,min_trn/spore_5,0.11580528523849999
2030,Albania,CCGT,min_wind/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_wind/spore_1,0.3225111858246
2030,Albania,CCGT,min_wind/spore_2,0.3225111858246
2030,Albania,CCGT,min_wind/spore_3,0.3225111858246
2030,Albania,CCGT,min_wind/spore_4,0.3225111858246
2030,Albania,CCGT,min_wind/spore_5,0.3225111858246
2030,Albania,CCGT,min_windoff/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_windoff/spore_1,0.1259483709425
2030,Albania,CCGT,min_windoff/spore_2,0.1259483709425
2030,Albania,CCGT,min_windoff/spore_3,0.1259483709425
2030,Albania,CCGT,min_windoff/spore_4,0.1259483709425
2030,Albania,CCGT,min_windoff/spore_5,0.1259483709425
2030,Albania,CCGT,min_windon/spore_0,6.370880270397742e-05
2030,Albania,CCGT,min_windon/spore_1,0.15332793984829998
2030,Albania,CCGT,min_windon/spore_2,0.15332793984829998
2030,Albania,CCGT,min_windon/spore_3,0.15332793984829998
2030,Albania,CCGT,min_windon/spore_4,0.15332793984829998
2030,Albania,CCGT,min_windon/spore_5,0.15332793984829998
2030,Albania,CCGT,spores_base/spore_run_0,0.0006236836872592988
2030,Albania,CCGT,spores_base/spore_run_1,0.05538728078204078
2030,Albania,CCGT,spores_base/spore_run_10,0.0010971635859812904
2030,Albania,CCGT,spores_base/spore_run_11,0.00013770497825792385
2030,Albania,CCGT,spores_base/spore_run_12,0.0004892973525231252
2030,Albania,CCGT,spores_base/spore_run_13,0.0001027225317475614
2030,Albania,CCGT,spores_base/spore_run_14,0.0008566638515948961
2030,Albania,CCGT,spores_base/spore_run_15,0.00043454876468741293
2030,Albania,CCGT,spores_base/spore_run_2,6.593213359338933e-05
2030,Albania,CCGT,spores_base/spore_run_3,0.0006181769430735895
2030,Albania,CCGT,spores_base/spore_run_4,0.0002940159073949844
2030,Albania,CCGT,spores_base/spore_run_5,0.0001258857688290222
2030,Albania,CCGT,spores_base/spore_run_6,0.0001229514001585157
2030,Albania,CCGT,spores_base/spore_run_7,9.13691510166822e-05
2030,Albania,CCGT,spores_base/spore_run_8,0.00011014879989980765
2030,Albania,CCGT,spores_base/spore_run_9,0.0004314486929670168
2030,Albania,CCGT,spores_elec/spore_run_0,0.0006236836872592988
2030,Albania,CCGT,spores_elec/spore_run_1,0.05716968103903701
2030,Albania,CCGT,spores_elec/spore_run_10,0.00010872920301471492
2030,Albania,CCGT,spores_elec/spore_run_2,7.517873757143962e-05
2030,Albania,CCGT,spores_elec/spore_run_3,0.0007796962375784104
2030,Albania,CCGT,spores_elec/spore_run_4,9.516030501370948e-05
2030,Albania,CCGT,spores_elec/spore_run_5,8.982165700723229e-05
2030,Albania,CCGT,spores_elec/spore_run_6,0.00012459578478719586
2030,Albania,CCGT,spores_elec/spore_run_7,0.00010539455014734761
2030,Albania,CCGT,spores_elec/spore_run_8,0.00010207159337834049
2030,Albania,CCGT,spores_elec/spore_run_9,0.00010655710030308614
2030,Albania,CCGT,spores_fuel/spore_run_0,0.0006236836872592988
